image,width,height,total_pixels,max_r,max_r_x,max_r_y,max_g,max_g_x,max_g_y,max_b,max_b_x,max_b_y,max_gray,max_gray_x,max_gray_y,pctl_r,pctl_g,pctl_b,pctl_gray,nir_channel,nir_peak,nir_percentile,sat_pixels_any,sat_pixels_nir,mean_r,mean_g,mean_b,mean_gray,std_r,std_g,std_b,std_gray,snr_r,snr_g,snr_b,snr_gray,snr_db_r,snr_db_g,snr_db_b,snr_db_gray
25cm.jpg,486,648,314928,255,400,40,255,392,24,255,400,40,255,400,40,255,255,255,255,red,255,255,3816,2480,152.8731,126.5658,129.393,134.8006,40.9194,45.4247,44.1463,43.6166,3.736,2.7863,2.931,3.0906,11.448,8.9005,9.3403,9.8008
30cm.jpg,486,648,314928,255,336,0,255,307,0,255,336,0,255,336,0,255,255,255,255,red,255,255,22781,20250,146.9232,130.9661,127.7245,135.4065,49.4757,57.529,56.0904,54.6736,2.9696,2.2765,2.2771,2.4766,9.454,7.1454,7.1477,7.8772
35cm.jpg,486,648,314928,255,360,0,255,344,0,255,360,0,255,360,0,255,255,255,255,red,255,255,25192,23881,149.7368,127.1942,132.9808,134.5944,50.4519,61.3633,57.3977,57.3481,2.9679,2.0728,2.3168,2.347,9.449,6.3312,7.2979,7.4102
40cm.jpg,486,648,314928,255,357,0,255,352,0,255,357,0,255,357,0,255,255,255,255,red,255,255,42747,38045,162.3585,144.9605,149.1285,150.6542,55.2598,67.2453,63.4628,62.9974,2.9381,2.1557,2.3499,2.3914,9.3613,6.6718,7.4208,7.5732
digital-passport (1).jpg,600,600,360000,255,0,0,255,0,0,255,0,0,255,0,0,255,255,255,255,red,255,255,148660,148297,179.0162,166.5771,162.4737,169.8259,75.2761,81.6971,85.9401,79.7011,2.3781,2.039,1.8905,2.1308,7.5247,6.1882,5.5317,6.5708
face (1).jpg,156,206,32136,255,106,172,255,106,172,255,106,172,255,106,172,236,236,236,236,red,255,236,7,7,77.3405,77.3405,77.3405,77.3405,33.2654,33.2654,33.2654,33.2654,2.325,2.325,2.325,2.325,7.3283,7.3283,7.3283,7.3283
face (2).jpg,486,648,314928,255,472,29,255,480,24,255,480,12,255,472,29,255,255,255,255,red,255,255,108279,103955,208.9459,206.7415,206.8443,207.4192,51.8857,54.2915,54.0452,53.4099,4.027,3.808,3.8272,3.8835,12.0997,11.6139,11.6577,11.7846
face (3).jpg,486,648,314928,223,201,418,225,428,466,243,428,465,225,428,466,208,208,208,208,red,223,208,0,0,135.5342,134.26,132.6613,134.4251,48.2422,49.899,51.5298,49.4858,2.8095,2.6906,2.5745,2.7164,8.9724,8.5971,8.2137,8.68
face (4).jpg,486,648,314928,255,480,16,255,480,13,255,481,4,255,472,21,255,255,255,255,red,255,255,122926,118688,213.0855,211.9561,211.8018,212.2823,51.0186,53.1135,53.4571,52.396,4.1766,3.9906,3.9621,4.0515,12.4165,12.0208,11.9585,12.1523
face (5).jpg,486,648,314928,255,482,6,255,480,5,255,438,0,255,482,7,255,255,255,255,red,255,255,137036,132357,218.9473,217.7505,217.9132,218.1326,47.677,49.556,49.2836,48.8416,4.5923,4.394,4.4216,4.4661,13.2406,12.8573,12.9116,12.9986
face (6).jpg,486,648,314928,255,102,157,255,112,157,255,478,88,255,112,157,255,255,255,255,red,255,255,12218,8677,183.9749,181.9594,178.3778,182.174,48.7328,51.7243,49.141,50.3202,3.7752,3.5179,3.6299,3.6203,11.5387,10.9256,11.1979,11.1749
face.jpg,486,648,314928,255,18,0,255,18,0,255,18,0,255,18,0,255,255,255,255,red,255,255,3216,3132,136.3213,134.8571,134.3085,135.1982,45.73,47.2965,47.8792,46.8607,2.981,2.8513,2.8052,2.8851,9.4872,9.1009,8.9591,9.2032
